,Questions,Correct,A,B,C,D
0,"In what fictional city is the TV show Futurama set?
",New New York,New Chicago,New New York,New San Francisco,None of these
1,"What is the lowest ranking species in the Covenant hierarchy in the Halo series?
",Grunt,Drone,Brute,Elite,Grunt
2,"Who controls the Flood in the Halo series?
",Gravemind,Gravemind,The Prophet of Truth,The Arbiter,No one
3,"What is a SPARTAN in the Halo series?
",All of these,A Genetically modified super soldier,A higher ranking soldier than a ODST,Troopers that went through military training at the age of five,All of these
4,"What species is the Didact in the Halo series?
",Forerunner,Forerunner,Precursor,Promethean,Yamne
5,"In the Halo series, Zealots use Energy Swords.
",True,True,False,,
6,"Which of the following does the UNSC use to transport troops in the halo series?
",Pelicans,Falcons,Hornets,Phantoms,Pelicans
7,"What does UNSC stand for in the Halo series?
",United Nations Space Command,None of the above,United Nations Space Council,United Nations Space Command,Unified Nations Supreme Court
8,"What is the largest UNSC ship in the Halo series?
",UNSC Infinity,UNSC In Amber Clad,UNSC Infinity,UNSC Spirit of Fire,UNSC Pillar of Autumn
9,"What city does Halo 3 ODST take place in?
",New Mombasa,Voi,New Mombasa,Toronto,New York
10,"What is the largest species of the Covenant in the Halo series?
",Hunter,Brute,Hunter,Jackal,Elite
11,"Who made the fictional Mother Brain and for what purpose?
",The Chozo built her to be a organic Supercomputer.,The Galactic Federation built her as a next generation Aurora Unit.,It is unknown who made her but she was made to control Zebes.,The Space Pirates built her to be one of their generals.,The Chozo built her to be a organic Supercomputer.
12,"How did the Alimbics become extinct in the Metroid series?
",The entire species used up their life energy to imprison Gorea.,They discovered Phazon and developed Phazon Madness causing them to wipe each other out.,Gorea wiped them out.,The entire species used up their life energy to imprison Gorea.,The Metroids wiped them out.
13,"What creature passes on the X Parasite to Samus in the Metroid series?
",Hornoad,Metroid,Space Pirate,Kihunter,Hornoad
14,"Who is the Deleter in the Metroid series?
",James Pierce,Lyle Smithsonian,Adam Malkovich,K.G Misawa,James Pierce
15,"Kraid is the only one of his species encountered in the Metroid game.
",False,True,False,,
16,"What do Steamlords keep as pets in the Metroid series of games?
",Vaporwing,Steambot,Warp Hound,Steamspider,Vaporwing
17,"An ancient Chozo prophecy predicts the coming of Phazon and the Metroid Prime. In this prophecy the Metroid Prime is referred to as which of the following?
",Worm,Worm,Beast,Destroyer,Consumer
18,"King Worm can be fought after Mother Brainin Metroid Zero Mission.
",True,True,False,,
19,"What planet are Kihunters from in the Metroid games?
",Unknown,Space Pirate Homeworld,Unknown,SR388,Zebes
20,"What planet is Samus from  in the Metorid games?
",K-2L,It is unknown,K-2L,Norion,Zebes
21,"What is the name of the enemy faction in the first N.O.V.A?
",Xenos,Xenos,Volterites,Judgers,The Dominion
22,"The N.O.V.A 3 Shotgun is both semi and fully automatic.
",True,False,True,,
23,"On which planet does the first two missions in N.O.V.A 2 take place?
",Aquarius,Sagittarius,Earth,New Ceres,Aquarius
24,"Who helps Kal Wardin find the Judger artifact aboard Therrius in N.O.V.A?
",MazRah,Prometheus,Yelena,MazRah,Rufus
25,"In N.O.V.A, Kal Wardin is rewarded for finding out what happened aboard the Colonial Pride by almost being killed.
",True,False,True,,
26,"Who is the leader of the Volterites in N.O.V.A?
",The Overseer,MazRah,None of the above,Prometheus,The Overseer
27,"Which Xeno is capable of teleporting in N.O.V.A?
",Heavy Demon,Heavy Demon,Red Demon,Imp,Fiend
28,"In N.O.V.A, President Folson is unarmed.
",False,False,True,,
29,"Boreas is the only desert planet in the N.O.V.A series.
",False,False,True,,
30,"What is the name of the damsel you have to save in the classic arcade game Donkey Kong?
",Pauline,Peach,Daisy,Pauline,Dixie Kong
31,"Which of these was a name that game character, Mario, was once called?
",Jumpman,Koopa,Plumberio,Jumpman,Luigi
32,"Who or what turned Warios treasure into monsters in the game, Wario World?
",The black jewel,Kemmy Koopa,Lemmy Koopa,The black jewel,Bowser
33,"In the Mario games, what animal is a paratroopa?
",A turtle,A bird,A lizard,A turtle,A tiger
34,"When first created, Mario game character, Birdo, was what?
",A boy,A dog,A boy,A girl,A bird
35,"In the video games of Mario, is Luigi Marios cousin?
",No,No,Yes,,
36,"In the Mario video games, Bowser is the king of what?
",Koopas,Bowsers,The Jungle,Mushroom Kingdom,Koopas
37,"Who is the last boss in video game Paper Mario 2?
",Shadow Queen,Gloom Tail,Bowser,Shadow Queen,Cackletta
38,"Which movie is this Warcraft 3 quote from?
",ndit: -What we have here is a failure to communicate.,Cool Hand Luke,For a Fistful of Dollars,Dirty Sanchez,Cool Hand Luke
39,"Where does the popular video game character Mario live?
",The Mushroom Kingdom,The Koopa Kingdom,The Kingdom of Sarasaland,The Mushroom Kingdom,Yoshi Island
40,"What is Marios nationality according to Nintendo video games?
",Italian,Italian,American,Mexican,British
41,"Has the video game character Mario ever been in a TV show?
",Yes,No,Yes,,
42,"What was the first video game in which Mario appeared?
",Donkey Kong,Mario,The Mario Bros.,Super Mario,Donkey Kong
43,"Why does Mario wear a red cap in the Mario series of games?
",The creators didnt have the technology to animate his hair.,The creators didnt have the technology to animate his hair.,He is bald.,He cant make his hair neat.,He likes his cap.
44,"Has Nintendo character Mario ever been a bad guy?
",Yes,No,Yes,,
45,"What does the Fire Flower do to Mario in the Mario video games?
",Allows him to throw fire balls.,Allows him to breath fire.,Nothing,It makes him angry.,Allows him to throw fire balls.
46,"What effect does the Super Mushroom have on Mario in the popular series of video games?
",It makes him bigger.,It makes him bigger.,None,It makes him impervious to danger.,It makes him smaller.
47,"In the Mario series of video games, Mario never uses any weapons.
",False,False,True,,
48,"What is Marios occupation in the Mario series of games?
",plumber,engineer,doctor,plumber,electrician
49,"What is the name of the land where most of the Legend of Zelda games take place?
",Hyrule,Hylia,Hyrule,Sacred Realm,Termania
50,"Which monster made its first appearance in the game The Legend of Zelda: Majoras Mask?
",Chu-Chu,Chu-Chu,Armos,Keese,Octorok
51,"Which one of the Legend of Zelda games does not feature the same Link as the others?
",Wind Waker,Ocarina of Time,Links Awakening,Wind Waker,Majoras Mask
52,"Which of the following is not an item that Link uses in the Legend of Zelda series of games?
",A spear used for immobilizing enemies,A magical leaf used for flying,A spear used for immobilizing enemies,A jar that can suck stuff into it and shoot out gusts of wind,A candle for shooting fire at enemies
53,"In the Legend of Zelda series of games Link has not worn a tunic in what colour?
",yellow,yellow,blue,red,green
54,"Which games were included in the 2003 Legend of Zelda Collectors edition that became available on the Nintendo GameCube?
","The Legend of Zelda, The Adventure of Link, Ocarina of Time, Majoras Mask","The Legenda of Zelda, The Adventure of Link, A Link to the Past, Ocarina of TIme","Orcale of Seasons, Orcale of Ages, Links Awakening, and Minish Cap","The Legend of Zelda, The Adventure of Link, Ocarina of Time, Majoras Mask","A Link to the Past, Majoras Mask, Ocarina of Time, Wind Waker"
55,"Which Final Fantasy 3 character is known for blitzes such as Bum Rush, Pummel, and Suplex?
",Sabin,Edgar,Setzer,Locke,Sabin
56,"What character from the Final Fantasy series used a weapon called the Buster Sword?
",Cloud Strife,Sephiroth,Squall Leonhart,Cloud Strife,Seifer Almasy
57,"What was the name of the summoned creatures that aided the characters in the Final Fantasy 8 game?
",Guardian Forces,Materia,Summonings,Espers,Guardian Forces
58,"Which character was the main villain in the American Final Fantasy 3 game?
",Kefka,Sin,Kefka,Garland,Sephiroth
59,"Which Final Fantasy game was released in North America on 7 September 1999?
",Final Fantasy 8,Final Fantasy 10,Final Fantasy 9,Final Fantasy 8,Final Fantasy 7
60,"Which one of these Final Fantasy characters didnt own an airship?
",Rinoa Heartilly,Setzer Gabbiani,Daryl,Rinoa Heartilly,Cid Highwind
61,"What year was the first Final Fantasy game released in Japan?
",1987,1989,1988,1990,1987
62,"This character, who has appeared in nearly every Final Fantasy game, usually provides transportation to the main characters.
",Cid,Edgar,Cid,Sabin,Squall
63,"In this Final Fantasy spin-off every new recruit starts out as a Squire or a Chemist.
",Final Fantasy Tactics,Final Fantasy Mystic Quest,Final Fantasy Tactics Advance,Kingdom Hearts,Final Fantasy Tactics
64,"Final Fantasy X featured which mini-game?
",Blitzball,Snowboarding,Blitzball,Triple Triad,Tetra Master
65,"Which video game is the following quote from?
",e got muscles in places youve never even heard of.,Escape from Monkey Island,Escape from Monkey Island,Simon the Sorcerer 3D,Grim Fandango
66,"Which video game are the following quotes from?
",," Come on, comrades! Up to the rooftop! Go!", Get that flag up! Berlin is ours!,Call of Duty,Medal of Honor
67,"Come on, comrades! Up to the rooftop! Go!
", Get that flag up! Berlin is ours!,Call of Duty,Medal of Honor,Call of Duty,Hidden and Dangerous 2
68,"What is the cheat for getting 50 000 simoleans in the computer game The Sims 2?
",motherlode,kaching,all of these,motherlode,simoleons_$$$
69,"What are the expansion packs available for The Sims 2 game?
","University, Night Life, Family Fun, Open for Business","Odd Jobs, Pets",All of these,"University, Night Life, Family Fun, Open for Business","Makin Magic, Holiday, Party"
70,"In the computer game The Sims 2, in order for a Sim to have a baby, you must select the woohoo option on a different Sim.
",False,False,True,,
71,"On the cover of the Sims 2 University expansion pack there is a picture of two Sims, one male and one female. What is the male Sim wearing?
",toga,hippie outfit,toga,mascot costume,football equipment
72,"Bella Goth is absent from the family when The Sims 2 begins.
",True,False,True,,
73,"In Open for Business, the third expansion pack for The Sims 2, Sims may earn 25 business perks.
",True,False,True,,
74,"Was the computer game The Sims 2 made solely by EA games?
",No,No,Yes,,
75,"The Sims 2 game is rated E (Everyone).
",False,False,True,,
76,"What is the name of the robot in The Sims 2, that fetches take-away food?
",MunchieBot,HungryBot,MunchieBot,Bot,FoodBot
77,"In Nightlife, the second expansion pack for The Sims 2, Sims can have their own cars.
",True,False,True,,
78,"Which is not an actual die?
",d18,d10,d100,d4,d18
79,"This class has the ability to smite evil.
",Paladin,Rogue,Paladin,Ranger,Sorcerer
80,"This race doesnt sleep, they meditate instead.
",Elf,Dwarf,Elf,Human,Changeling
81,"Which of these is not a feat?
",Knowledge Arcana,Quick Draw,Knowledge Arcana,Forge Ring,Toughness
82,"You roll a d20 for attack rolls (to see if you hit your opponent).
",True,True,False,,
83,"Which item costs the most according to the Players Handbook?
",Full Plate Mail,Whetstone,Two-Bladed Sword,Full Plate Mail,Heavy Repeating Crossbow
84,"How far can a medium sized, unencumbered creature walk in one round?
",30 feet,20 feet,50 feet,30 feet,10 feet
85,"Which class casts arcane magic innately?
",Sorcerer,Ranger,Cleric,Wizard,Sorcerer
86,"This 9th level wizard spell is sought after by many characters as a reward.  Many wizards also strive to learn this spell.
",Wish,Power Word Kill,Wish,Imprisonment,Gate
87,"This class must choose 2 weapon fighting or archery as their weapon style at 2nd level.
",Ranger,Bard,Cleric,Ranger,Fighter
88,"Where is the first warp whistle located in the game Super Mario 3?
",world 1-3,world 1-3,world 1 fortress,world 2-5,world 1-4
89,"In Mario Kart: Double Dash, what is the last thing you unlock by getting gold in the all cup tour in mirror mode?
",Parade car,Parade car,Bullet car,Super Mario car,Ganondorf car
90,"Which of the following characters can bounce off walls in the game Super Smash Brothers Melee?
",Young Link,Luigi,Ness,Yoshi,Young Link
91,"In the game Luigis Mansion, which of these in not one of Marios lost items?
",Marios belt,Marios shoe,Marios hat,Marios belt,Marios star
92,"Who is the boss at the end of world 5 in the game Super Mario 2?
",Clawgrip,Birdo,Tryclide,Bowser,Clawgrip
93,"In the game Super Mario 1, which level in world 7 is a water level?
",7-2,7-1,7-2,7-4,7-3
94,"In Super Mario World, you start the game on which island?
",Yoshis Island,Toads Island,Yoshis Island,Peachs Island,Bowsers Island
95,"Which of these is not a playable character in the video game Mario Party 4?
",Toad,Peach,Donkey Kong,Mario,Toad
96,"In the game Super Mario Sunshine, where is Bowser when you fight him at the end?
",in a hot tub,in his castle,in a volcano,in a hot tub,in the windmill with Petey Piranha
97,"What does Mario use for his power shot in the game Mario Power Tennis?
",a hammer,a fiery racket,a hammer,a star,a fire fist
98,"What is the God Pokemon called in Pokemon Pearl and Diamond?
",Arceus,Giratina,Dialga,Cresselia,Arceus
99,"The Pokemon creature Snorunt can evolve in which of the following?
",Glalie  Froslass,Glalie  Snolie,Glalie  Froslass,Glalie  Galrunt,Glalie  Probopass
100,"In what Pokemon version can Palkia be obtained?
",Pearl,Pearl,Blue,Diamond,Red
101,"What was the first ever ghost Pokemon to appear in a Pokemon episiode?
",Gengar,Misdreavus,Gengar,Ghastly,Haunter
102,"What Pokemon abducted Professor Spencer Haled in the movie Pokemon 3?
",Unknown,Aipom,Gengar,Unknown,Entei
103,"How many heroes are alive at the end of Startcraft: Brood War?
","6 - Artanis, Arcturus Mengsk, Jim Raynor, Zeratul, Samir Duran, Sarah Kerrigan","6 - Artanis, Arcturus Mengsk, Jim Raynor, Zeratul, Samir Duran, Sarah Kerrigan","7 - Aratnis, Arcturus Mengsk, Aldaris, Samir Duran, Sarah Kerrigan, Fenix, Zeratul","5 - Fenix, Arcturus Mengsk, Edmund Duke, Samir Duran, Sarah Kerrigan","7 - Aratnis, Arcturus Mengsk, Aldaris, Samir Duran, Sarah Kerrigan, Fenix, Jim Raynor"
104,"Edmund Duke leads which group of elite fighters?
",Alpha Squadron,Alpha Squadron,Beta Squadron,Delta Squadron,Omega Squadron
105,"What type of unit is Zeratul?
",Dark Templar,Dark Archon,High Templar,Dark Templar,Zealot
106,"What are characteristics of the Archon unit?
",10 hit points and 350 plasma shield,10 hit points and 250 plasma shield,20 hit points and 250 plasma shield,10 hit points and 350 plasma shield,20 hit points and 300 plasma shield
107,"What unit says that in the game?
",Dark Templar,Zealot,Scout,Dark Templar,Zealot
108,"What is Alexei Stukovs rank?
",Vice Admiral,General,Admiral,Vice Admiral,Corporal
109,"During which mission do Edmund Duke and Fenix die?
",True colors,True colors,Omega station,Day of lightning,Hammer falls
110,"Who leads the UED (United Earth Directorate forces)?
",Gerard DuGalle,Samir Duran,Gerard DuGalle,Jim Raynor,Alexei Stukov
111,"Who is Kerrigan talking to?
",Fenix,Zeratul,Edmund Duke,Fenix,Artanis
112,"What is the name of the Italian plumber, thats also the mascot of Nintendo?
",Mario,Luigi,Donkey Kong,Sonic,Mario
113,"What does KOTOR stand for?
",Knights of the Old Republic,Kings Of The Old Realm,Know One Tells Our Ruses,Kin Of Time Or Rain,Knights of the Old Republic
114,"In the video game Rock Band you can play multiple instruments in the band.
",True,False,True,,
115,"Which Age of Empires game expansion pack allows you to play as Native Americans?
",The War Chiefs,The War Chiefs,The Tribal Warriors,The Lakota Warriors,Asian Dynasty
116,"What is the name of Donkey Kongs tiny sidekick?
",Diddy Kong,Tiny Kong,Donkey Kong Jr.,Diddy Kong,Mini Donkey Kong
117,"Which GTA game features Tommy Vercetti?
",Vice City,Grand Theft Auto III,San Andreas,"GTA 9,000",Vice City
118,"Which game is Luis Sera featured in?
",Resident Evil 4,Burnout Revenge,Dead Rising,Resident Evil 4,Midnight Mayhem
119,"Which of these games is not based on a comic book?
",Kingdom Hearts,The Darkness,Ghost Rider,Kingdom Hearts,X-Men The Game
120,"Which of these songs is not in Guitar Hero 2?
",We Will Rock You,Carry on My Wayward Son,Strutter,War Pigs,We Will Rock You
121,"In 2007, this game was named by IGN the 3rd best GameCube game of all time.
",Super Smash Bros Melee,Pikmin,Super Smash Bros Melee,Resident Evil 4,Nicktoons Unite
122,"In the Legend of Zelda: Twilight Princess, what is the name of the first sword you get?
",Wooden sword,Ordon sword,Four sword,Wooden sword,Master sword
123,"In The Legend of Zelda: Majoras Mask, how many days do you have until the moon crashes down on Temina?
",three,one,nine,three,six
124,"There is at least one game of the Zelda series of games, released from 1986 to 2006, in which Zelda and Link get married.
",False,False,True,,
125,"What is the name of the owner of lon-lon ranch in the Zelda series of games?
",Talon,Zelda,Ingo,Minda,Talon
126,"In The Legend of Zelda: Twilight Princess, what was the name of the villain that had been fired from a joker at Hyrule Castle?
",None of these,None of these,Gannondorf,Navi,Vati
127,"In the Zelda series of games, what is the name of the tribe Gannondorf comes from?
",Gerudo,Zora,Gerudo,Goron,Hylian
128,"Link, one of the main characters in the Zelda series of games, is a member of what race?
",Hylians,Hylians,Kokiri,Zora,Goron
129,"What is Links fathers name according to the Zelda series of games?
",It has never been revealed.,It has never been revealed.,Gerald,Sam,Lance
130,"In which Zelda game does Link turn into a bunny when he goes into the dark world without a pearl?
",Link to the Past,Twilight Princess,Link to the Past,Ocarina of Time,Links Awakening
131,"Which computer game is this soundtrack from?
",Double Dragon,Double Dragon,Final Fight,Punisher,Street Fighter
132,"What island do you start on in the online role-playing game RuneScape?
",Tutorial Island,Beginners Island,Noobonia Island,Startagonia Island,Tutorial Island
133,"What icon is used to start a low detail RuneScape game?
",A warrior,A skeleton,An imp,A warrior,A barbarian
134,"What is the name of the sword used to defeat the demon in the demon slayer quest of the online role-playing game RuneScape?
",Silverlight,Brightheart,Demonbane,The Shining Light,Silverlight
135,"In the online role-playing game RuneScape, what kind of fruit is grown in Karajama?
",Bananas,Apples,Bananas,Oranges,Pineapples
136,"Priest robes raise your mage level in the mass online game RuneScape.
",False,True,False,,
137,"What is the highest weapon type available to nonmembers in the online role-playing game RuneScape?
",Rune,Dragon,Granite,Rune,Adamantite
138,"What is the name of the fantasy realm in which the RuneScape game is set?
",Gielinor,None of these,Modor,Gomor,Gielinor
139,"What does Traiborn call you in the online role-playing game RuneScape?
",Thingummywut,Bungdungydingdong,Hugmugabugger,Thingummywut,Trindindlekindy
140,"The action in the survival horror game Resident Evil 4 takes place in what country?
",Spain,Germany,Spain,France,USA
141,"Which of the guns listed is available before you beat the Resident Evil 4 game?
",Killer7,Chicago typewriter,Killer7,Handcannon,Infinite Launcher
142,"What is the merchants real name in the video game Resident Evil 4?
",It is not mentioned,Jeremy,Krauser,It is not mentioned,Robert
143,"This creature from the game Resident Evil 4 was created by splicing genes from reptiles, insects and a human into one organism.
",U3,None of the above,Verdugo,Garrador,U3
144,"In the survival video game Resident Evil 4, the handcannon with its exclusive upgrade does 99.9 damage and has infinite ammo.
",True,False,True,,
145,"Not including the rocket launcher, what is the second most powerful weapon in Resident Evil 4, according to its damage per shot?
",Broken butterfly,Semi-auto rifle,Chicago typewriter,Killer7,Broken butterfly
146,"Whose final speech ends in We shall win through no matter the cost!
",Arcturus Mengsk,Alexei Stukov,Edmund Duke,Jim Raynor,Arcturus Mengsk
147,"Who kills the Matriarch?
",Zeratul,Zeratul,Sarah Kerrigan,Aldaris,Samir Duran
148,"The words Doom to all who threaten the homeworld belong to which unit?
",Zealot,Zealot,Dark Templar,Archon,Dark Archon
149,"What were the words of Sarah Kerrigan to Jim Raynor when they first met?
",You pig!,You pig!,"Hello, Jimmy","Hello, sheriff","Hello, marshal"
150,"How many hit points does the Arclite Siege Tank have?
",150,140,160,150,120
151,"Listen to the dialogue and determine what name is missing at the end
",Alexei,Raynor,Alexei,Gerard,Kerrigan
152,"What hero do these words belong to: I fear no death, I fear no enemy, our
",rength is eternal,Fenix,Artanis,Zeratul,Fenix
153,"What is the official version for the death of Alexei Stukov?
",He dies during the final assault on planet Char,He commits suicide after his fleet is destroyed,"He is killed by Samir Duran, because he was a traitor",His spaceship is blown up by Prottos forces,He dies during the final assault on planet Char
154,"Which unit says You called down the Thunder, now reap the Whirlwind.
",Ghost,Ghost,Medic,Marine,Firebat
155,"This sound clip is from what classic Nintendo game?
",Super Mario Bros,Star Fox,Donkey Kong,Super Mario Bros,The Legend of Zelda
156,"This sound clip is from what NES game featuring a creature that could eat anything?
",Kirbys Adventure,Metroid,Legend of Zelda,Super Mario Bros.,Kirbys Adventure
157,"This is the theme to what Xbox video game?
",Halo,Final Fantasy,Eldar Scrolls IV: Oblivion,Rainbow 6,Halo
158,"This is the overworld theme to this NES game that introduced the save function because the game took so long to complete.
",Legend of Zelda,Metroid,Donkey Kong,Legend of Zelda,Super Mario Bros.
159,"This is the victory theme to what popular video game series?
",Final Fantasy,Mortal Combat,Legend of Zelda,Final Fantasy,Super Mario
160,"From which fighting game is this sound clip?
",Super Smash Bros. Melee,Street Fighter II,Super Smash Bros. Melee,Teken 4,Soul Caliber II
161,"This sound clip is from what Game Boy game that spawned an anime TV show and a collectible card game?
",Pokemon,Final Fantasy,Pokemon,Magic the Gathering,Yu-Gi-Oh
162,"This sound clip is from what PC RTS game?
",Age of Empires II,Age of Empires II,StarCraft,Command and Conquer,Warcraft III
163,"This sound clip is a theme in which of the following Legend of Zelda games?
",The Legend of Zelda: Ocarina of Time,The Legend of Zelda: A Link to the Past,The Legend of Zelda,The Legend of Zelda: The Wind Waker,The Legend of Zelda: Ocarina of Time
164,"This sound clip is from what video game series?
",Star Fox,Star Wars: Rouge Squadron,Final Fantasy,Star Fox,Halo
165,"Which of these levels is on both Star Wars: Battlefront 1 and 2?
",Kamino,Death Star,Kamino,Bespin,Mustafar
166,"You can control Jedi on both Star Wars: Battlefront 1 and 2.
",False,True,False,,
167,"What is the default number of points to destroy a ship in a space battle on Star Wars: Battlefront  2?
",180,500,200,10,180
168,"Choose the correct order for player points bonuses in Star Wars: Battlefront from least to greatest.
","Endurance, Guardian, War Hero","Endurance, Guardian, War Hero","Guardian, Endurance, War Hero","War Hero, Guardian, Endurance","Marksman, Demolition, Technician"
169,"The two levels on Kashyyyk on Star Wars: Battlefront 1 are Islands and Docks.
",True,True,False,,
170,"On the Star Wars: Battlefront game, which of these is among the non-player characters of the game?
",Jawas,Mace Windu,Heavy weapons soldier,Luke Skywalker,Jawas
171,"Who controls the AT-ATs on Hoth in Star Wars: Battlefront?
",Empire,Empire,Rebels,Republic,CIS
172,"Warchief Thrall is the leader of which clan?
",Doomhammer,Warsong,Death Spear,Black Rock,Doomhammer
173,"What type of creature is the DeathWing?
",Black Dragon,Black Dragon,Red Dragon,Bone Dragon,Green Dragon
174,"What unit or hero does the phrase Speak up fool belong to?
",Prince Arthas as Dead Knight,Ghoul,Druid of the Claw,Prince Arthas as Dead Knight,Prince Arthas
175,"Who kills Mannoroth?
",Grom Hellscream,Thrall,Prince Arthas,Grom Hellscream,Illidan Stormrage
176,"What unit or hero does this phrase belong to?
",Dwarf Rifleman,muradin bronzebeard,Human Footman,Dwarf Rifleman,Throll Hunter
177,"Which building makes the Druid of the Claw unit?
",Ancient of  Lore,Ancient of  Lore,Ancient of  Wind,Ancient of Wisdom,Ancient of War
178,"Who rides “Nightsabre Panthers”?
",Huntresses,Wind Druids,Head Hunters,Huntresses,Archers
179,"What unit or hero does the phrase “I can see clearly, now the rain has gone” belong to?
",Grom Hellscream,Thrall,Shadow Hunter,Grom Hellscream,Thief
180,"In the Pokemon TV series, Ash saw a Gyarados in the first episode.
",False,True,False,,
181,"On what other character is Ash Ketchum loosely based in the Pokemon video games?
",Red,Blue,Yellow,Green,Red
182,"Is the Pokemon character Raikou included in any of the first ten Pokemon movies?
",No,No,Yes,,
183,"What is the first season of Johto called in Pokemon series?
",Johto Journeys,Johto,Johto Quest,Johto Journeys,Master Quest
184,"Was the tenth Pokemon movie released simultaneously in Japan and the USA?
",No,Yes,No,,
185,"Where can you find the gym leader Blaine in the video games Pokemon Gold and Silver and Pokemon Crystal?
",Seaform Islands,Celadon City,Seaform Islands,Cinnabar Island,Fusia city
186,"What is the very first car you drive in the Need for Speed: Most Wanted game?
",BMW M3 GTR,Golf GTI,BMW M3 GTR,Corvette C6,Lamborghini Gallardo
187,"There are a total of 20 blacklist drivers in the game Need for Speed: Most Wanted.
",False,False,True,,
188,"In the racing game Need for Speed: Most Wanted, what are the street names of  Blacklist numbers 1, 4, 7, and 15?
","Razor, JV, Kaze, Sonny","Razor, JV, Kaze, Sonny","Taz, Big Lou, Baron, Ronnie","Kaze, Big Lou, Bull, Razor","Webster, Vic, Izzy, Bull"
189,"How many maximum infractions can you get in a single pursuit in the game Need for Speed: Most Wanted?
",8,10,9,8,7
190,"Do you have a rap sheet in the game Need for Speed: Most Wanted?
",Yes,Yes,No,,
191,"Which of the following refers to the ability to win a Blacklist opponents car in the game Need for Speed: Most Wanted?
",pink slip,pink slip,gold bars,orange tye,thong wrap
192,"In the racing game Need for Speed: Most Wanted, where is is Blacklist number one located?
",Rockport,Johan City,Rockport,Goodwales,Amberhill
193,"Who created the theme song of the Super Mario Brothers game?
",Koji Kondo,Nobuo Uematsu,Koji Kondo,Yasunori Mitsuda,Shigeru Miyamoto
194,"Shigeru Miyamoto constructed the arcade game Donkey Kongs music himself, using an Electronic Keyboard.
",True,True,False,,
195,"The core of this gaming console, released in 1977, was combined with a display and sound chip known as the TIA, for Television Interface Adaptor.  The console was capable of producing 2 channel mono sound.
",Atari 2600,Sega Master System,Intellivision,Atari 2600,Nintendo Entertainment System (NES)
196,"The sound chip of the Commodore 64 home computer, released in 1982, was very advanced for its time.  It had three channels with several different waveforms, which could reach 8 different octaves each (approximately 16 - 4000 Hz).  Name the chip.
",Sound Interface Device,Sound Interface Disk,Sound Interface Component,Sound Interface Device,Sound Interface Chip
197,"My rogue in the game Dungeons and Dragons wants to use a wand of Greater Invisibility. In order to do this he must make a Use Magic Device check at what Difficulty Class?
",20,25,30,20,15
198,"Which of the listed bonuses in the game Dungeons and Dragons stacks?
",Dodge,Dodge,Enchantment,Armor,Divine
199,"Which of these feats does not prevent attacks of opportunity in one form or another in the role-playing game Dungeons and Dragons?
",Flyby Attack,Spring Attack,Flyby Attack,Improved Unarmed Strike,Improved Trip
200,"Which Knowledge Skill would allow you to determine the type of Giant you are facing in Dungeons and Dragons?
",Nature,Dungeoneering,Religion,Arcane,Nature
